lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.0045001249396591225,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[86.47365287774225]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.007285925825822318, -0.004866663819631993, 3.792600505870249e-33], [0.0, 0.0, 0.0, 0.0, -0.004866663819631993, 0.0032507079126957647, 3.7926005058702493e-32], [0.0, 0.0, 0.0, 0.0, 3.792600505870249e-33, 3.7926005058702493e-32, 3.3185254426364685e-33]]",0.00028613213521983325,86.47365287774225,[[9.29912108092707]],[9.29912108092707]
0.0046187988433276095,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[84.6077621367916]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.26138745410304326, -0.35841766182353, 1.8963002529351246e-33], [0.0, 0.0, 0.0, 0.0, -0.35841766182353, 0.49146666487062557, -2.0859302782286372e-32], [0.0, 0.0, 0.0, 0.0, 1.8963002529351246e-33, -2.0859302782286372e-32, 3.3185254426364685e-33]]",0.0002868569339818675,84.6077621367916,[[9.198247775353282]],[9.198247775353282]
0.004741392911873921,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[82.68023527262923]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02174861633682149, -0.09538444876605415, 6.637050885272937e-33], [0.0, 0.0, 0.0, 0.0, -0.09538444876605415, 0.41833434024031774, 1.1377801517610748e-32], [0.0, 0.0, 0.0, 0.0, 6.637050885272937e-33, 1.1377801517610748e-32, 3.3185254426364685e-33]]",0.0002876108978773287,82.68023527262923,[[9.092867274552578]],[9.092867274552578]
0.004857337777279036,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[80.85725276229978]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1151144582997724, -0.09102600276168427, 3.792600505870249e-33], [0.0, 0.0, 0.0, 0.0, -0.09102600276168427, 0.07197821456270125, -4.930380657631324e-32], [0.0, 0.0, 0.0, 0.0, 3.792600505870249e-33, -4.930380657631324e-32, 3.3185254426364685e-33]]",0.0002883288522629553,80.85725276229978,[[8.992066100863571]],[8.992066100863571]
0.004984965294472898,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[78.85058579288936]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.16525941631509414, -0.1548718840656243, 0.0], [0.0, 0.0, 0.0, 0.0, -0.1548718840656243, 0.14513726968697666, -7.585201011740499e-33], [0.0, 0.0, 0.0, 0.0, 0.0, -7.585201011740499e-33, 3.3185254426364685e-33]]",0.0002891246371895259,78.85058579288936,[[8.879785233489004]],[8.879785233489004]
0.0054298341287004614,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[71.85598451103122]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0005488729576238767, -0.018227871127011595, 0.0], [0.0, 0.0, 0.0, 0.0, -0.018227871127011595, 0.6053409649863388, 5.30964070821835e-32], [0.0, 0.0, 0.0, 0.0, 0.0, 5.30964070821835e-32, 3.3185254426364685e-33]]",0.00029194346135857105,71.85598451103122,[[8.476790932365338]],[8.476790932365338]
0.0054731088346274825,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[71.17558325506383]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.055180038865930314, -0.13260368501878683, -9.481501264675623e-34], [0.0, 0.0, 0.0, 0.0, -0.13260368501878683, 0.3186611978161956, 1.1377801517610748e-32], [0.0, 0.0, 0.0, 0.0, -9.481501264675623e-34, 1.1377801517610748e-32, 3.3185254426364685e-33]]",0.0002922213931084923,71.17558325506383,[[8.43656228893403]],[8.43656228893403]
0.006715784163385141,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[51.637198502726555]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 5.001749545240005e-05, -0.004570581815906865, -9.481501264675623e-34], [0.0, 0.0, 0.0, 0.0, -0.004570581815906865, 0.4176582203277052, 1.8963002529351246e-33], [0.0, 0.0, 0.0, 0.0, -9.481501264675623e-34, 1.8963002529351246e-33, 3.3185254426364685e-33]]",0.00030048464716069586,51.637198502726555,[[7.185902761847433]],[7.185902761847433]
0.007085354169948044,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[45.82650860324285]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.006316076085323093, -0.028978643389782555, -3.792600505870249e-33], [0.0, 0.0, 0.0, 0.0, -0.028978643389782555, 0.13295624710151532, -2.2755603035221496e-32], [0.0, 0.0, 0.0, 0.0, -3.792600505870249e-33, -2.2755603035221496e-32, 3.3185254426364685e-33]]",0.00030304733918719176,45.82650860324285,[[6.7695279453772]],[6.7695279453772]
0.0073144562930156365,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[42.22437269172764]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1574856531932929, -0.26929684424435574, 5.688900758805374e-33], [0.0, 0.0, 0.0, 0.0, -0.26929684424435574, 0.4604914088965235, -1.706670227641612e-32], [0.0, 0.0, 0.0, 0.0, 5.688900758805374e-33, -1.706670227641612e-32, 3.3185254426364685e-33]]",0.00030466021010314896,42.22437269172764,[[6.498028369569314]],[6.498028369569314]
