lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.17860417569711773,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
0.1792683081577391,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,0.0,[[nan]],[nan]
0.17949207234608744,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.18088443032209034,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.18092665223086812,"[2.0, 1.0, 1e-06]",[[-1.6653345369377348e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,1.6653345369377348e-12,[[nan]],[nan]
0.18149840959652408,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573648,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.18280877043097654,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.18353322888031898,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.18517934495356758,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.18537527280248567,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
