lambda,x_opt,f_opt,hessian,local_cov
0.02660532106421284,-1.9201840368073615,0.11653865079877347,-8.999999999995124,0.005440625517443298
0.026805361072214443,-1.9195839167833566,0.11739075160501194,-9.000000000009,0.004855443676500858
0.027005401080216044,-1.9189837967593517,0.11824249226720719,-8.999999999995124,0.005648658170610397
0.027205441088217645,-1.918383676735347,0.11909387278535925,-9.000000000036756,0.005674426181634914
0.027405481096219243,-1.9177835567113424,0.11994489315946806,-9.00000000002288,0.006519159083005784
0.027605521104220845,-1.9171834366873375,0.12079555338953368,-8.999999999995124,0.003860660275974709
0.027805561112222446,-1.9165833166633326,0.12164585347555609,-8.999999999967368,0.005522747357401386
0.028005601120224044,-1.9159831966393277,0.12249579341753526,-8.999999999995124,0.0051949310974335325
0.028205641128225645,-1.915383076615323,0.12334537321547127,-9.000000000036756,0.005748155365283963
0.028405681136227247,-1.9147829565913184,0.12419459286936403,-9.000000000036756,0.005854123972377721
0.028605721144228845,-1.9141828365673135,0.12504345237921358,-8.999999999981245,0.006043689762637293
0.028805761152230446,-1.9135827165433086,0.12589195174501994,-8.999999999981245,0.005713291434160873
0.029005801160232048,-1.9129825965193037,0.12674009096678307,-9.000000000009,0.00497009373428137
0.029205841168233646,-1.912382476495299,0.12758787004450303,-9.000000000050635,0.005441152082509199
0.029405881176235247,-1.9117823564712944,0.1284352889781797,-9.00000000002288,0.005842887850041783
0.02960592118423685,-1.9111822364472895,0.12928234776781322,-8.999999999981245,0.005480956547686833
0.029805961192238446,-1.9105821164232846,0.1301290464134035,-9.000000000009,0.005288102077762129
0.030006001200240048,-1.90998199639928,0.13097538491495056,-8.999999999981245,0.006165007491386333
0.03020604120824165,-1.909381876375275,0.1318213632724545,-9.000000000092268,0.006102518680538452
0.030406081216243247,-1.9087817563512703,0.13266698148591508,-8.999999999981245,0.005905006246194564
0.03060612122424485,-1.9081816363272655,0.13351223955533253,-8.99999999995349,0.007444807645876291
0.03080616123224645,-1.9075815163032606,0.13435713748070677,-8.999999999925734,0.005424902615944147
0.03100620124024805,-1.906981396279256,0.1352016752620378,-9.000000000036756,0.0067780953874029696
0.03120624124824965,-1.906381276255251,0.1360458528993256,-9.000000000009,0.0070129163557703
0.03140628125625125,-1.9057811562312463,0.13688967039257025,-9.000000000036756,0.0057771574550114484
0.03160632126425285,-1.9051810362072414,0.13773312774177163,-9.000000000064512,0.006786396735361741
0.03180636127225445,-1.9045809161832365,0.13857622494692975,-8.999999999925734,0.006883354205756638
0.03200640128025605,-1.9039807961592319,0.1394189620080447,-8.999999999981245,0.006375381051483027
0.03220644128825765,-1.903380676135227,0.1402613389251165,-8.999999999981245,0.007112252733193945
0.032406481296259254,-1.9027805561112223,0.14110335569814503,-8.999999999981245,0.0060723047164249035
0.03260652130426085,-1.9021804360872174,0.14194501232713036,-8.999999999981245,0.006129316365962893
0.03280656131226245,-1.9015803160632125,0.14278630881207247,-8.999999999981245,0.006509138657158076
0.033006601320264055,-1.9009801960392079,0.14362724515297134,-8.99999999995349,0.006354588640471602
0.03320664132826565,-1.900380076015203,0.14446782134982708,-9.000000000009,0.0050612989520203745
0.03340668133626725,-1.8997799559911983,0.14530803740263953,-8.999999999981245,0.005434694741030016
0.033606721344268856,-1.8991798359671934,0.14614789331140887,-9.000000000009,0.007818607952715082
0.033806761352270454,-1.8985797159431885,0.14698738907613487,-8.999999999925734,0.005695963826889742
0.03400680136027205,-1.8979795959191839,0.1478265246968177,-8.999999999925734,0.00625998979236086
0.034206841368273656,-1.897379475895179,0.1486653001734574,-9.000000000009,0.005995623678283154
0.034406881376275254,-1.8967793558711743,0.1495037155060538,-9.000000000009,0.006397188019623076
0.03460692138427685,-1.8961792358471694,0.150341770694607,-8.999999999925734,0.006815959095076208
0.03480696139227846,-1.8955791158231645,0.151179465739117,-8.99999999995349,0.007966934037525446
